case,variant,scenario,side,observations,captured_observation_bytes_min,captured_observation_bytes_max,retained_observation_bytes_min,retained_observation_bytes_max,captured_observation_capacity_min,captured_observation_capacity_max,retained_observation_capacity_min,retained_observation_capacity_max,handles_created_min,handles_created_max,live_handles_min,live_handles_max,force_attempts_min,force_attempts_max,full_decode_completions_min,full_decode_completions_max,completed_decode_cells_min,completed_decode_cells_max,cache_publications_min,cache_publications_max,reused_handles_min,reused_handles_max,duplicate_handles_min,duplicate_handles_max,dataptr_handles_min,dataptr_handles_max,pointer_materializations_min,pointer_materializations_max,source_columns_with_attempts_min,source_columns_with_attempts_max,max_source_column_completions_min,max_source_column_completions_max
numeric-n10000-p128,direct,load,after_retained_gc,3,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,512.0,512.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
numeric-n10000-p128,direct,load,before_release,3,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,512.0,512.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n1000-p1024,direct,all,after_release_gc,3,3887000.0,3887000.0,0.0,0.0,3887000.0,3887000.0,0.0,0.0,7168.0,7168.0,0.0,0.0,1024.0,1024.0,1024.0,1024.0,1024000.0,1024000.0,1024.0,1024.0,820.0,820.0,6144.0,6144.0,0.0,0.0,0.0,0.0,1024.0,1024.0,1.0,1.0
pure-numeric-n1000-p1024,direct,all,after_retained_gc,3,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,7168.0,7168.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024000.0,1024000.0,1024.0,1024.0,820.0,820.0,6144.0,6144.0,0.0,0.0,0.0,0.0,1024.0,1024.0,1.0,1.0
pure-numeric-n1000-p1024,direct,all,before_release,3,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,7168.0,7168.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024000.0,1024000.0,1024.0,1024.0,820.0,820.0,6144.0,6144.0,0.0,0.0,0.0,0.0,1024.0,1024.0,1.0,1.0
pure-numeric-n1000-p1024,direct,datasig,after_release_gc,3,3887000.0,3887000.0,0.0,0.0,3887000.0,3887000.0,0.0,0.0,4096.0,4096.0,0.0,0.0,1024.0,1024.0,1024.0,1024.0,1024000.0,1024000.0,1024.0,1024.0,0.0,0.0,3072.0,3072.0,1024.0,1024.0,820.0,820.0,1024.0,1024.0,1.0,1.0
pure-numeric-n1000-p1024,direct,datasig,after_retained_gc,3,3887000.0,3887000.0,0.0,0.0,3887000.0,3887000.0,0.0,0.0,4096.0,4096.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024000.0,1024000.0,1024.0,1024.0,0.0,0.0,3072.0,3072.0,1024.0,1024.0,820.0,820.0,1024.0,1024.0,1.0,1.0
pure-numeric-n1000-p1024,direct,datasig,before_release,3,3887000.0,3887000.0,0.0,0.0,3887000.0,3887000.0,0.0,0.0,4096.0,4096.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024000.0,1024000.0,1024.0,1024.0,0.0,0.0,3072.0,3072.0,1024.0,1024.0,820.0,820.0,1024.0,1024.0,1.0,1.0
pure-numeric-n1000-p1024,direct,first_value,after_release_gc,3,3887000.0,3887000.0,0.0,0.0,3887000.0,3887000.0,0.0,0.0,4096.0,4096.0,0.0,0.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p1024,direct,first_value,after_retained_gc,3,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4096.0,4096.0,1024.0,1024.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p1024,direct,first_value,before_release,3,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4096.0,4096.0,1024.0,1024.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p1024,direct,fraction,after_release_gc,3,3887000.0,3887000.0,0.0,0.0,3887000.0,3887000.0,0.0,0.0,4406.0,4406.0,0.0,0.0,54.0,54.0,54.0,54.0,54000.0,54000.0,54.0,54.0,45.0,45.0,3382.0,3382.0,11.0,11.0,1.0,1.0,52.0,52.0,3.0,3.0
pure-numeric-n1000-p1024,direct,fraction,after_retained_gc,3,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4406.0,4406.0,1024.0,1024.0,54.0,54.0,54.0,54.0,54000.0,54000.0,54.0,54.0,45.0,45.0,3382.0,3382.0,11.0,11.0,1.0,1.0,52.0,52.0,3.0,3.0
pure-numeric-n1000-p1024,direct,fraction,before_release,3,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4406.0,4406.0,1024.0,1024.0,54.0,54.0,54.0,54.0,54000.0,54000.0,54.0,54.0,45.0,45.0,3382.0,3382.0,11.0,11.0,1.0,1.0,52.0,52.0,3.0,3.0
pure-numeric-n1000-p1024,direct,known5_fraction,after_release_gc,3,3887000.0,3887000.0,0.0,0.0,3887000.0,3887000.0,0.0,0.0,518.0,518.0,0.0,0.0,54.0,54.0,54.0,54.0,54000.0,54000.0,54.0,54.0,45.0,45.0,466.0,466.0,11.0,11.0,1.0,1.0,52.0,52.0,3.0,3.0
pure-numeric-n1000-p1024,direct,known5_fraction,after_retained_gc,3,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,518.0,518.0,52.0,52.0,54.0,54.0,54.0,54.0,54000.0,54000.0,54.0,54.0,45.0,45.0,466.0,466.0,11.0,11.0,1.0,1.0,52.0,52.0,3.0,3.0
pure-numeric-n1000-p1024,direct,known5_fraction,before_release,3,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,518.0,518.0,52.0,52.0,54.0,54.0,54.0,54.0,54000.0,54000.0,54.0,54.0,45.0,45.0,466.0,466.0,11.0,11.0,1.0,1.0,52.0,52.0,3.0,3.0
pure-numeric-n1000-p1024,direct,load,after_release_gc,3,3887000.0,3887000.0,0.0,0.0,3887000.0,3887000.0,0.0,0.0,4096.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n1000-p1024,direct,load,after_retained_gc,3,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4096.0,4096.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n1000-p1024,direct,load,before_release,3,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4096.0,4096.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n1000-p8,direct,all,after_release_gc,3,26000.0,26000.0,0.0,0.0,26000.0,26000.0,0.0,0.0,56.0,56.0,0.0,0.0,8.0,8.0,8.0,8.0,8000.0,8000.0,8.0,8.0,7.0,7.0,48.0,48.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,1.0
pure-numeric-n1000-p8,direct,all,after_retained_gc,3,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,56.0,56.0,8.0,8.0,8.0,8.0,8.0,8.0,8000.0,8000.0,8.0,8.0,7.0,7.0,48.0,48.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,1.0
pure-numeric-n1000-p8,direct,all,before_release,3,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,56.0,56.0,8.0,8.0,8.0,8.0,8.0,8.0,8000.0,8000.0,8.0,8.0,7.0,7.0,48.0,48.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,1.0
