case,variant,phase,observations,captured_observation_bytes_min,captured_observation_bytes_max,retained_observation_bytes_min,retained_observation_bytes_max,captured_observation_capacity_min,captured_observation_capacity_max,retained_observation_capacity_min,retained_observation_capacity_max,handles_created_min,handles_created_max,live_handles_min,live_handles_max,force_attempts_min,force_attempts_max,full_decode_completions_min,full_decode_completions_max,completed_decode_cells_min,completed_decode_cells_max,cache_publications_min,cache_publications_max,reused_handles_min,reused_handles_max,duplicate_handles_min,duplicate_handles_max,dataptr_handles_min,dataptr_handles_max,pointer_materializations_min,pointer_materializations_max,source_columns_with_attempts_min,source_columns_with_attempts_max,max_source_column_completions_min,max_source_column_completions_max
pure-numeric-n1000-p8,direct,repeat_value_new_extraction,7,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,32.0,32.0,32.0,32.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,1.0,1.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p8,direct,repeat_value_same_handle,7,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,32.0,32.0,32.0,32.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,1.0,1.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n10000-p128,direct,all_columns_summary,7,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,1145.0,1145.0,544.0,1145.0,165.0,165.0,165.0,165.0,1650000.0,1650000.0,165.0,165.0,146.0,146.0,1017.0,1017.0,9.0,9.0,2.0,2.0,128.0,128.0,3.0,3.0
pure-numeric-n10000-p128,direct,column_handle,7,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,512.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n10000-p128,direct,column_summary,7,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,515.0,515.0,515.0,515.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,2.0,2.0,387.0,387.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n10000-p128,direct,expanded_fraction_workflow,7,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,761.0,761.0,160.0,761.0,38.0,38.0,38.0,38.0,380000.0,380000.0,38.0,38.0,43.0,43.0,633.0,633.0,9.0,9.0,2.0,2.0,32.0,32.0,2.0,2.0
pure-numeric-n10000-p128,direct,first_value_same_handle,7,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,512.0,512.0,512.0,512.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n10000-p128,direct,fraction_workflow,7,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,567.0,567.0,567.0,567.0,7.0,7.0,7.0,7.0,70000.0,70000.0,7.0,7.0,13.0,13.0,439.0,439.0,2.0,2.0,1.0,1.0,7.0,7.0,1.0,1.0
pure-numeric-n10000-p128,direct,load,7,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,512.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n10000-p128,direct,repeat_column_summary,7,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,518.0,518.0,518.0,518.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,3.0,3.0,390.0,390.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n10000-p128,direct,repeat_value_new_extraction,7,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,512.0,512.0,512.0,512.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,1.0,1.0,384.0,384.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n10000-p128,direct,repeat_value_same_handle,7,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,4820000.0,512.0,512.0,512.0,512.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,1.0,1.0,384.0,384.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
